Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032621;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;02/11/2014;03/11/2014 a 03/11/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-3.1175;-64.791942;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032622;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;15/12/2014;16/12/2014 a 16/12/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-3.1175;-64.791942;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032623;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;14/05/2014;15/05/2014 a 15/05/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-3.1175;-64.791942;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032624;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;21/12/2014;22/12/2014 a 22/12/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-2.797778;-65.1325;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032625;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;21/12/2014;22/12/2014 a 22/12/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Mamirauá;Brasil;AM;Uarini;Espécie não Sensível;-2.797778;-65.1325;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032634;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;05/10/2014;06/10/2014 a 06/10/2014;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Amanã;Brasil;AM;Maraa;Espécie não Sensível;-2.978333;-64.386389;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;João Valsecchi Do Amaral;1032644;Nº Da Autorização/Licença Sisbio: 29092, Projeto: Sistema De Monitoramento De Fauna Do Idsm;26/04/2015;27/04/2015 a 27/04/2015;19/08/2016;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva De Desenvolvimento Sustentável Amanã;Brasil;AM;Maraa;Espécie não Sensível;-2.476944;-64.708333;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Karl-L. Schuchmann;1071963;Nº Da Autorização/Licença Sisbio: 39095, Projeto: Monitoramento De Bioindicadores E Pássaros Migratórios No Pantanal. Acústica Aplicada - Uma Ferramenta Para Avaliação Da  Biodiversidade.;30/06/2014;01/07/2014 a 30/08/2014;10/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Sesc Pantanal - Baía Das Pedras;Brasil;MT;Pocone;Espécie não Sensível;-16.316667;-56.4;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Karl-L. Schuchmann;1072014;Nº Da Autorização/Licença Sisbio: 39095, Projeto: Monitoramento De Bioindicadores E Pássaros Migratórios No Pantanal. Acústica Aplicada - Uma Ferramenta Para Avaliação Da  Biodiversidade.;30/11/2016;01/12/2016 a 28/02/2017;10/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Sesc Pantanal - Baía Das Pedras;Brasil;MT;Pocone;Espécie não Sensível;-16.316667;-56.4;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;André Luis Ravetta;1048362;Nº Da Autorização/Licença Sisbio: 16296, Projeto: Estudo De Mastofauna, Para Fins De Avaliação Ecológica Rápida - Aer Na Floresta Nacional Do Trairão - Pa;07/09/2009;08/09/2009 a 08/09/2009;17/05/2017;Panthera onca;Onça-pintada;Panthera onca;species;2;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Floresta Nacional Do Trairão;Brasil;PA;Sem Informações;Espécie não Sensível;-4.611667;-55.477222;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
